n;skill;skill_es;Argentina;Antilhas Holandesas;Barbados;Bolívia;Brasil;Canada;Chile;Colombia;Costa Rica;Dominican Republic;Equador;El Salvador;Guatemala;Honduras;Jamaica;México;Panamá;Paraguai;Peru;Suriname;Trinidad e Tobago;Estados Unidos;Uruguai
1;Polymechanics / Automation;Polimecanica Automatización;;;;;1;;;1;;;;;;;;1;;;1;;;;
2;Information Network Cabling;Información de Redes de Cableado ;;1;;;1;;;1;;;;;;;;1;;;;;;;
3;Manufacturing Team Challenge;Desafio de Equipos de Manufactura;;;;;;;;;;;;;;;;;;;;;;;
4;Mechatronics;Mecatronica ;;;;;2;;2;2;;;;2;2;;;2;;;2;;;;
5;Mechanical Engineering Design – CAD;Diseño de Ingenieria Mecanica CAD;;;;;1;;1;1;;;;;1;;;;;;;;;;
6;CNC Turning ;CNC Torneado;;;;;1;;;1;1;;;1;;;;1;;;;;;;
7;CNC Milling;CNC Fresado;;;;;1;;;1;1;1;;;;;;1;;;;;;;
8;Plastic Die Engineering;Ingeniería de Moldes Plásticos ;;;;;;;;;;;;;;;;;;;;;;;
9;IT Software Solutions;Soluciones de Software ;;;;;1;;1;1;;1;;;1;;;1;;;;;;;
10;Welding;Soldadura;;1;;1;1;;1;1;1;;;;1;1;;1;1;;1;;;;
11;Print Median Technology;Impresión de Medios;;;;;;;;;;;;;;;;;;;;;;;
12;Wall and Floor Tiling;Pared y Piso de Baldosa;1;1;;;1;;;1;;;;;;;;;;;;;;;
14;Aircraft Maintenance;Mantenimiento de Aeronaves;;;;;;;;;;;;;;;;;;;;;;;
15;Plumbing and Heating;Fontanería y Calefacción;1;;;;1;;1;;;;;;;;;;;1;;;;;
16;Electronics;Electronica;;;;;1;;1;1;;1;;;1;1;;1;1;;1;;;;
17;Web Design;Diseño WEB;;1;;;1;;;1;;1;;;1;;;1;;;;;;;
18;Electrical Installations;Instalaciones Electricas;1;;;1;1;;1;1;1;;;;1;1;;1;1;1;;;;;
19;Industrial Control;Control Industrial;;;;;1;;1;1;;;;1;1;;;1;;;1;;;;
20;Bricklaying;Albañileria / Mamposteria;1;;;1;1;;;1;;;;;;;;;;;;;;;
21;Plastering and Drywall Systems;Sistema de Yeso y Drywall;1;1;;;1;;;1;;;;;;;;;;;;;;;
22;Painting and Decorating;Pintura y Decoración;;;;;;;;;;;;;;;;;;;;;;;
23;Mobile Robotics;Robotica Móvil;;;;;2;;2;2;;;;;;;;2;;;;;;;
24;Cabinetmaking;Carpinteria de Muebles;;;;;1;;;;1;;;;;;;;;;;;;1;
25;Joinery;Carpinteria de Estructuras;;;;;;;;;;;;;;;;;;;;;;;
26;Carpentry;Carpinteria;;;;;;;;;;;;;;;;;;;;;;;
27;Jewellery;Joyeria;;;;;;;;;;;;;;;;;;;;;;;
28;Floristy;Floristeria  ;;;;;;;;;;;;;;;;;;;;;;;
29;Hairdressing;Peluquería;;;1;;1;;;;1;;;;1;;;;;;;;;;
30;Beauty Therapy;Terapia de Belleza;;;;;;;;;;;;;;;;;;;;;;;
31;Fashion Technology;Tecnología de la Moda;;;;;1;;;1;1;;;;;;;;;;;;;;
32;Confectioner/Pastry Cook;Pastelería;;;;;1;;;;1;;;1;1;;;1;;;;;;;
33;Automobile Technology;Tecnología del Automovil;;;;;1;;1;1;1;1;;;1;;;1;;;1;;;1;
34;Cooking;Cocina;;1;;1;1;;1;1;1;;;1;1;;;1;1;;;;;;
35;Restaurant Service;Servicio de Restaurante;;1;;;1;;;1;1;;;;;;;1;1;;;;;;
36;Car Painting;Pintura de Automovil;;;;;;;;;;;;;;;;;;;;;;;
38;Refrigeration;Refrigeración;;;;;1;;;1;;;;;1;;;;1;1;;;;;
39;IT Network Systems;Sistema de Redes IT;;;;;1;;1;1;;;;;1;;;1;;1;;;;;
40;Graphic Design Technology;Tecnología de Diseño Gráfico;;;;;1;;1;1;1;;;;1;;;1;;;;;;;
41;Health and Social Care;Cuidado Salud;1;;;;1;;1;1;;;;;;;;1;;;;;;;
42;Construction Metal Work;Trabajo en Construcción de Metal;;;;;;;;;;;;;;;;;;;;;;;
43;Sheet Metal Technology;Tecnologia de Laminación Metalica;;;;;;;;;;;;;;;;;;;;;;;
44;Visual Merchandising /Window dressing;Vitrinismo/Mercadeo Visual;;;;;;;;;;;;;;;;;;;;;;;
45;Prototype Modelling;Prototipado;;;;;;;;;;;;;;;;;;;;;;;
46;Clothes Sewing;Confección de ropa;;;;1;1;;;;;;;;1;;;;;;1;;;;
47;Conventional Turning;Torneado Convencional;;;;1;1;;1;;1;;;;1;1;;1;;;;;;;
48;Conventional Milling;Fresado Convencional;;;;;1;;1;;1;;;;1;1;;;;;;;;;
50;* Development of Mobile Applications;* Desarrollo de Aplicaciones Móviles;;;;;3;;;3;;;;;;;;;;;;;;;
