1;Arrival TD, CE, DCE, E;Llegada TD, CE, DCE & E;Chegada TD, CE, DCE & E;2013-03-27 07:00:00;2014-03-07 15:23:59;2014-03-07 15:23:59
2;Training for experts;Formación Expertos;Treinamento dos Experts;2013-03-28 08:00:00;2014-03-07 15:27:01;2014-03-07 15:27:01
3;Preparation of Test Projects;Preparación de las Pruebas;Preparação das Provas;2013-03-28 13:30:00;2014-03-07 15:27:46;2014-03-07 15:27:46
4;Technical Committee Meeting;Reunión del Comité Técnico;Reunião do Comitê Técnico;2013-03-28 15:00:00;2014-03-07 15:30:59;2014-03-07 15:30:59
5;Test Project Preparation JP, CE, DCE, E;Preparación de las Pruebas JP, CE, DCE, E;Preparação das Provas JP, CE, DCE, E;2014-03-29 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
6;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-03-29 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
7;Executive Board Meeting;Reunión del Comité Ejecutivo;Reunião da Diretoria Executiva;2014-03-29 14:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
8;Arrival C, TL, OD, OO, O;Llegada C, TL, OD, OO, O;Chegada C, TL, OD, OO, O;2014-03-30 07:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
9;Preparation of Test Projects (SMT);Preparación de las Pruebas (SMT);Preparação das Provas (SMT);2014-03-30 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
10;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-03-30 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
11;Familiarization C, CE, DCE, E, JP, WSS;Ambientación C, CE, DCE, E, JP, WSS;Familiarização C, CE, DCE, E, JP, WSS;2014-03-31 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
12;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-03-31 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
13;Team Leaders Meeting;Reunión de los Jefes de Equipo;Reunião de Chefes de Equipe;2014-03-31 14:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
14;Familiarization day / Op Ceremony Rehearsal;Día de Familiarización / Ensayo de  Ceremonia inaugural;Dia de familiarização / Ensaio cerimônia de ab.;2014-03-31 16:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
15;OSOC (C, TL, TD, TDA, OD, OO);OSOC (C, TL, TD, TDA, OD, OO);OSOC (C, TL, TD, TDA, OD, OO);2014-04-01 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
16;Preparação das Provas (JP, CE, DCE, E);Preparación de las Pruebas  (JP, CE, DCE, E);Preparation of Test Projects (JP, CE, DCE, E);2014-04-01 08:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
17;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-04-01 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
18;General Assembly;Asamblea General;Assembléia Geral;2014-04-01 11:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
19;Excursion (C, TL, CE, DCE, E, TD, TDA, OD, OO, O);Excursión (C, TL, CE, DCE, E, TD, TDA, OD, OO, O);Excursão (C, TL, CE, DCE, E, TD, TDA, OD, OO, O);2014-04-01 12:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
20;Opening Ceremony;Ceremonia de Apertura;Cerimônia de Abertura;2014-04-01 18:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
21;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-02 08:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
22;1st day of competition;1º Día de la Competencia;1º dia de competição;2014-04-02 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
23;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-04-02 10:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
24;Team Leaders Meeting;Reunión de los Jefes de Equipo;Reunião de Chefes de Equipe;2014-04-02 14:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
25;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-02 17:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
26;CIS Assessment;CIS Evaluación;Avaliação CIS;2014-04-02 17:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
27;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-03 08:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
28;2nd day of competition;2º Día de la Competencia;2º dia de competição;2014-04-03 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
29;CIS Assessment;CIS Evaluación;Avaliação CIS;2014-04-03 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
30;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-04-03 10:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
31;Team Leaders Meeting;Reunión de los Jefes de Equipo;Reunião de Chefes de Equipe;2014-04-03 14:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
32;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-03 17:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
33;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-04 08:30:00;2014-03-07 15:48:20;2014-03-07 15:48:20
34;3rd day of competition;3º Día de la Competencia;3º dia de competição;2014-04-04 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
35;CIS Assessment;CIS Evaluación;Avaliação CIS;2014-04-04 09:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
36;Jury President Meeting;Reunión de Presidentes del Jurado;Reunião de Jurí Presidentes;2014-04-04 10:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
37;Team Leaders Meeting;Reunión de los Jefes de Equipo;Reunião de Chefes de Equipe;2014-04-04 14:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
38;Competitor Communication;Comunicación Competidor y Experto;Comunicação Avaliador e Competidor;2014-04-04 17:00:00;2014-03-07 15:48:20;2014-03-07 15:48:20
