id;skill_id;path
1;1;01.jpg
2;2;02.jpg
3;3;03.jpg
4;4;04.jpg
5;5;05.jpg
6;6;06.jpg
7;7;07.jpg
8;9;09.jpg
9;10;10.jpg
10;15;15-1.jpg
11;15;15.jpg
12;16;16.jpg
13;17;17.jpg
14;18;18.jpg
15;20;20.jpg
16;21;21.jpg
17;23;23.jpg
18;24;24.JPG
19;27;27.jpg
20;33;33.jpg
21;34;34.jpg
22;38;38.jpg
23;39;39.jpg
24;40;40.jpg
25;41;41-1.jpg
26;41;41-2.jpg
27;41;41-3.jpg
28;41;41-4.jpg
29;41;41.jpg
30;46;46-1.jpg
31;46;46-2.jpg
32;46;46-3.jpg
33;46;46-4.jpg
34;46;46.jpg
35;47;47-1.jpg
36;47;47-2.jpg
37;47;47-3.jpg
38;47;47-4.jpg
39;47;47-5.jpg
40;47;47.jpg
41;48;48-1.jpg
42;48;48-2.jpg
43;C01;C01-2.jpg
44;C01;C01-3.jpg
45;C01;C01-4.jpg
46;C01;C01.jpg
47;D01;D01-1.jpg
48;D01;D01-2.jpg
49;D01;D01-3.jpg
50;D01;D01-4.jpg
51;D01;D01.jpg
